선박명(선택),호출부호,사용목적,운송형태,화물명,하역업체,하역기간,사용장소,전출항지,UNNO,IMDG,품명,중량,단위
해원호,121835,적하,산적액체위험물,중유,에이치디현대오일뱅크 주식회사,2026-07-30 11:00 ~ 2026-07-30 13:00,동부두 9번선석,인천,9999,10,BUNKER-C,485.000,TON
9민성호,161822,양하,산적액체위험물,MF380,(주)한유,2026-07-30 18:00 ~ 2026-07-30 20:00,송악부두 6번선석,,9999,10,BUNKER-C,335.000,TON
해령호,130020,적하,산적액체위험물,중유,우진상운주식회사,2026-07-30 07:00 ~ 2026-07-30 10:00,동부두 9번선석,,9999,03,BUNKER-C,750.000,TON
비룡호,146805,적하,산적액체위험물,중유,우진상운주식회사,2026-07-30 08:30 ~ 2026-07-31 17:00,동부두 9번선석,,9999,3,BUNKER-C,900.000,TON
SUNNY KALMIA,3E8980,양하,컨테이너위험물,"BATTERIES, NICKELMETAL HYDRIDE",평택컨테이너터미널(주),2026-08-01 00:00 ~ 2026-08-01 09:00,동부두 7번선석,XIAMEN,3480,9,LITHIUM ION BATTERIES (including li,14.840,TON
SUNNY KALMIA,3E8980,양하,컨테이너위험물,"BATTERIES, NICKELMETAL HYDRIDE",평택컨테이너터미널(주),2026-08-01 00:00 ~ 2026-08-01 09:00,동부두 7번선석,XIAMEN,3480,9,LITHIUM ION BATTERIES (including li,14.840,TON
SUNNY KALMIA,3E8980,양하,컨테이너위험물,"BATTERIES, NICKELMETAL HYDRIDE",평택컨테이너터미널(주),2026-08-01 00:00 ~ 2026-08-01 09:00,동부두 7번선석,XIAMEN,3480,9,LITHIUM ION BATTERIES (including li,14.840,TON
SUNNY KALMIA,3E8980,양하,컨테이너위험물,"BATTERIES, NICKELMETAL HYDRIDE",평택컨테이너터미널(주),2026-08-01 00:00 ~ 2026-08-01 09:00,동부두 7번선석,XIAMEN,3480,9,LITHIUM ION BATTERIES (including li,14.840,TON
SUNNY KALMIA,3E8980,양하,컨테이너위험물,"BATTERIES, NICKELMETAL HYDRIDE",평택컨테이너터미널(주),2026-08-01 00:00 ~ 2026-08-01 09:00,동부두 7번선석,XIAMEN,3480,9,LITHIUM ION BATTERIES (including li,14.840,TON
SUNNY KALMIA,3E8980,양하,컨테이너위험물,"BATTERIES, NICKELMETAL HYDRIDE",평택컨테이너터미널(주),2026-08-01 00:00 ~ 2026-08-01 09:00,동부두 7번선석,XIAMEN,3480,9,LITHIUM ION BATTERIES (including li,14.840,TON
101 HYODONG CHEMI,021568,양하,산적액체위험물,CAUSTIC SODA,당진해운(주),2026-08-05 01:00 ~ 2026-08-12 23:00,서부두 2번선석,여수,1907,8,CAUSTIC SODA,"3,000.000",TON
ROTMISTRZ WITOLD PILECKI,SVED6,양하,산적액체위험물,LNG,한국가스공사평택,2026-08-01 18:00 ~ 2026-08-02 16:00,LNG 돌핀 2,SABINE,1971,2.1,"METHANE, COMPRESSED or NATURAL GAS,COMPRESSED w","72,366.000",TON
에프씨 델라,D7IE,양하,산적액체위험물,BASE OIL,대아탱크터미널(주),2026-08-01 09:00 ~ 2026-08-03 09:00,기호돌핀,대산,1268,3,BASE OIL,"5,870.000",TON
SEUNG JIN,230047,양하,산적액체위험물,LSFO,대아탱크터미널(주),2026-08-01 06:00 ~ 2026-08-02 20:00,기호돌핀,인천,9999,10,LSFO,"2,106.000",TON
3영호,008346,적하,산적액체위험물,"MGO,BA",(유)흥진해상,2026-07-31 06:00 ~ 2026-07-31 14:00,원정리 부잔교,,1903,8,"DISINFECTANT, LIQUID, CORROSIVE, N.O.S.",20.000,TON
제유호,970431,기타,산적액체위험물,해상용경유 MGO,주식회사 제유산업,2026-08-01 14:00 ~ 2026-08-04 18:00,서부두 3번선석,인천,9996,10,MGO,90.000,TON
제유호,970431,기타,산적액체위험물,해상용 BUNKER A,주식회사 제유산업,2026-07-31 15:00 ~ 2026-08-04 18:00,서부두 3번선석,인천,9998,10,BUNKER-A,210.000,TON
가연,181823,적하,산적액체위험물,중유,우진상운주식회사,2026-07-31 08:00 ~ 2026-07-31 23:00,동부두 9번선석,,9999,03,BUNKER-C,"1,110.000",TON
가연,181823,양하,산적액체위험물,중유,우진상운주식회사,2026-07-31 10:00 ~ 2026-07-31 16:00,동부두 5번선석,,9999,03,BUNKER-C,650.000,TON
비룡호,146805,적하,산적액체위험물,중유,우진상운주식회사,2026-07-31 10:00 ~ 2026-08-01 19:00,동부두 9번선석,,9999,3,BUNKER-C,800.000,TON
비룡호,146805,양하,산적액체위험물,중유,우진상운주식회사,2026-07-31 13:00 ~ 2026-08-01 19:00,동부두 5번선석,,9999,3,BUNKER-C,800.000,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,적하,컨테이너위험물,BATTERY ASSY-12V LITHIUM,동방컨테이너터미널 (주),2026-08-01 06:00 ~ 2026-08-03 06:00,동부두 16번선석,,3480,9,LITHIUM ION BATTERIES (including lithium ion po,4.388,TON
웅진호,091116,양하,산적액체위험물,"경유,B-A",태웅산업(주),2026-08-01 10:00 ~ 2026-08-01 13:00,관리현장 묘박지,,9996,10,MGO,60.000,TON
웅진호,091116,양하,산적액체위험물,"경유,B-A",태웅산업(주),2026-08-01 10:00 ~ 2026-08-01 13:00,관리현장 묘박지,,9998,10,BUNKER-A,60.000,TON
RUI GAO CHUANG XIN,BOUC6,양하,산적액체위험물,PPO,대아탱크터미널(주),2026-08-02 06:00 ~ 2026-08-09 23:00,기호돌핀,VUNG TAU,1268,3,PPO,"2,902.232",TON
PACIFIC SINGAPORE,9V7740,양하,컨테이너위험물,"CARBON DIOXIDE, SOLID (DRY ICE)",평택컨테이너터미널(주),2026-07-31 19:00 ~ 2026-08-01 12:00,동부두 8번선석,QINGDAO,1845,9,"CARBON DIOXIDE, SOLID (DRY ICE)",19.894,TON
PACIFIC SINGAPORE,9V7740,양하,컨테이너위험물,"CARBON DIOXIDE, SOLID (DRY ICE)",평택컨테이너터미널(주),2026-07-31 19:00 ~ 2026-08-01 12:00,동부두 8번선석,QINGDAO,1845,9,"CARBON DIOXIDE, SOLID (DRY ICE)",19.894,TON
PACIFIC SINGAPORE,9V7740,양하,컨테이너위험물,"CARBON DIOXIDE, SOLID (DRY ICE)",평택컨테이너터미널(주),2026-07-31 19:00 ~ 2026-08-01 12:00,동부두 8번선석,QINGDAO,1845,9,"CARBON DIOXIDE, SOLID (DRY ICE)",19.894,TON
PACIFIC SINGAPORE,9V7740,양하,컨테이너위험물,"CARBON DIOXIDE, SOLID (DRY ICE)",평택컨테이너터미널(주),2026-07-31 19:00 ~ 2026-08-01 12:00,동부두 8번선석,QINGDAO,1845,9,"CARBON DIOXIDE, SOLID (DRY ICE)",19.894,TON
민성 11,ICR211804,양하,산적액체위험물,MF380,(주)한유,2026-07-31 11:00 ~ 2026-07-31 12:00,입파도정박지,,9999,10,BUNKER-C,628.000,TON
한유파이오니아,150035,적하,산적액체위험물,COAL TAR,씨제이대한통운(주),2026-08-03 06:00 ~ 2026-08-10 23:00,송악부두 2번선석,,1136,3,COAL TAR,"3,000.000",TON
HANYU NURI,170009,적하,산적액체위험물,C. BENZENE,씨제이대한통운(주),2026-08-09 06:00 ~ 2026-08-16 23:00,송악부두 2번선석,,1114,3,C. BENZENE,"1,200.000",TON
PACIFIC SINGAPORE,9V7740,적하,컨테이너위험물,"RESIN SOLU TION ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (CO",평택컨테이너터미널(주),2026-07-31 15:00 ~ 2026-08-01 04:00,동부두 8번선석,,1866,3,RESIN SOLUTION flammable,4.592,TON
PACIFIC SINGAPORE,9V7740,적하,컨테이너위험물,"RESIN SOLU TION ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (CO",평택컨테이너터미널(주),2026-07-31 15:00 ~ 2026-08-01 04:00,동부두 8번선석,,3077,9,"ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O",0.552,TON
PACIFIC SINGAPORE,9V7740,적하,컨테이너위험물,"RESIN SOLU TION ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (CO",평택컨테이너터미널(주),2026-07-31 15:00 ~ 2026-08-01 04:00,동부두 8번선석,,1950,2,AEROSOLS,3.706,TON
PACIFIC SINGAPORE,9V7740,적하,컨테이너위험물,"RESIN SOLU TION ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (CO",평택컨테이너터미널(주),2026-07-31 15:00 ~ 2026-08-01 04:00,동부두 8번선석,,1866,3,RESIN SOLUTION flammable,7.920,TON
백경호,146804,양하,산적액체위험물,중질유,백경해운,2026-07-31 17:00 ~ 2026-07-31 21:00,서부두 8번선석,,9999,10,BUNKER-C,500.000,TON
