선박명(선택),호출부호,사용목적,운송형태,화물명,하역업체,하역기간,사용장소,전출항지,UNNO,IMDG,품명,중량,단위
GREAT THITA,9VDY8,양하,산적액체위험물,METHANOL,대아탱크터미널(주),2026-08-02 06:00 ~ 2026-08-10 00:00,기호돌핀,울산,1230,3,METHANOL,"14,500.000",TON
ES LILY,170022,양하,산적액체위험물,VLSFO,평택컨테이너터미널(주),2026-07-31 06:00 ~ 2026-08-07 23:00,동부두 9번선석,여수,1202,3,VLSFO,"7,500.000",TON
동해글로리,244802,양하,산적액체위험물,VLSFO,비디해운 주식회사,2026-07-30 00:00 ~ 2026-08-15 23:00,동부두 4번선석,,1993,3,"FLAMMABLE LIQUID, N.O.S.","2,000.000",TON
101 HYODONG CHEMI,021568,양하,산적액체위험물,CAUSTIC SODA,당진해운(주),2026-08-05 01:00 ~ 2026-08-12 23:00,서부두 2번선석,여수,1907,8,CAUSTIC SODA,"3,000.000",TON
제유호,970431,기타,산적액체위험물,해상용경유 MGO,주식회사 제유산업,2026-08-01 14:00 ~ 2026-08-04 18:00,서부두 3번선석,인천,9996,10,MGO,90.000,TON
제유호,970431,기타,산적액체위험물,해상용 BUNKER A,주식회사 제유산업,2026-08-01 15:00 ~ 2026-08-04 18:00,서부두 3번선석,인천,9998,10,BUNKER-A,210.000,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,양하,컨테이너위험물,LITHIUM-ION BATTERY CELL,동방컨테이너터미널 (주),2026-07-31 14:00 ~ 2026-08-03 14:00,동부두 16번선석,LIANYUNGANG,3480,9,LITHIUM ION BATTERIES (including lithium ion po,17.280,TON
TEN JUPITER,3E8470,적하,컨테이너위험물,BATTERY ASSY-12V LITHIUM,동방컨테이너터미널 (주),2026-08-01 06:00 ~ 2026-08-03 06:00,동부두 16번선석,,3480,9,LITHIUM ION BATTERIES (including lithium ion po,4.388,TON
웅진호,091116,양하,산적액체위험물,"경유,B-A",태웅산업(주),2026-08-05 07:00 ~ 2026-08-05 12:00,관리현장 묘박지,,9996,10,MGO,60.000,TON
웅진호,091116,양하,산적액체위험물,"경유,B-A",태웅산업(주),2026-08-05 07:00 ~ 2026-08-05 12:00,관리현장 묘박지,,9998,10,BUNKER-A,60.000,TON
RUI GAO CHUANG XIN,BOUC6,양하,산적액체위험물,PPO,대아탱크터미널(주),2026-08-02 06:00 ~ 2026-08-09 23:00,기호돌핀,VUNG TAU,1268,3,PPO,"2,902.232",TON
한유파이오니아,150035,적하,산적액체위험물,COAL TAR,씨제이대한통운(주),2026-08-03 06:00 ~ 2026-08-10 23:00,송악부두 2번선석,,1136,3,COAL TAR,"3,000.000",TON
HANYU NURI,170009,적하,산적액체위험물,C. BENZENE,씨제이대한통운(주),2026-08-09 06:00 ~ 2026-08-16 23:00,송악부두 2번선석,,1114,3,C. BENZENE,"1,200.000",TON
ATLANTIC PIONEER,9V7919,적하,컨테이너위험물,"PAINT RELATED MATERIAL, ETC",동방컨테이너터미널 (주),2026-08-02 18:00 ~ 2026-08-06 13:00,동부두 16번선석,,,,,,
LOBITO,C6YZ3,양하,산적액체위험물,LNG,한국가스공사평택,2026-08-04 07:00 ~ 2026-08-05 06:00,LNG 돌핀 2,SOYO,1971,2.1,"METHANE, COMPRESSED or NATURAL GAS,COMPRESSED w","70,042.000",TON
PACIFIC SHENZHEN,9V8012,양하,컨테이너위험물,CYCLOPENTANONE ETC,평택컨테이너터미널(주),2026-08-04 14:00 ~ 2026-08-05 05:00,동부두 7번선석,SHANGHAI,,,,,
DL DIAMOND,DSPQ4,양하,산적액체위험물,HSFO,현대오일터미널(주),2026-08-05 07:00 ~ 2026-08-06 23:00,동부두 9번선석,여수,1202,3,"GAS OIL or DIESEL FUEL or HEATING OIL, LIGHT","7,500.000",TON
G. SWAN,D8MA,양하,산적액체위험물,PROPANE & BUTANE,에스케이가스(주),2026-08-04 06:00 ~ 2026-08-11 23:00,SK LPG 돌핀,CRISTOBAL,1978,2.1,PROPANE,"33,566.898",TON
G. SWAN,D8MA,양하,산적액체위험물,PROPANE & BUTANE,에스케이가스(주),2026-08-04 06:00 ~ 2026-08-11 23:00,SK LPG 돌핀,CRISTOBAL,1011,2.1,BUTANE,"12,520.938",TON
XINQUNDAO,H3OI,양하,컨테이너위험물,CARBON ANIMAL OR VEGETABLE ORIGIN,동방컨테이너터미널 (주),2026-08-03 08:00 ~ 2026-08-04 07:00,동부두 15번선석,DALIAN,1361,4.2,CARBON animal or vegetable origin,24.675,TON
TIAN HAI PING ZE,BOPY4,양하,컨테이너위험물,SODIUM CARBONATE PEROXYHYDRATE,동방컨테이너터미널 (주),2026-08-02 21:00 ~ 2026-08-03 07:00,동부두 15번선석,SHANGHAI,3378,5.1,SODIUM CARBONATE PEROXYHYDRATE,22.060,TON
TIAN HAI PING ZE,BOPY4,양하,컨테이너위험물,SODIUM CARBONATE PEROXYHYDRATE,동방컨테이너터미널 (주),2026-08-02 21:00 ~ 2026-08-03 07:00,동부두 15번선석,SHANGHAI,3378,5.1,SODIUM CARBONATE PEROXYHYDRATE,22.060,TON
TIAN HAI PING ZE,BOPY4,양하,컨테이너위험물,SODIUM CARBONATE PEROXYHYDRATE,동방컨테이너터미널 (주),2026-08-02 21:00 ~ 2026-08-03 07:00,동부두 15번선석,SHANGHAI,3378,5.1,SODIUM CARBONATE PEROXYHYDRATE,22.060,TON
